row_number;Identifiant_de_l_etablissement;Nom_etablissement
0;0010001W;Lycée professionnel Alexandre Bérard
1;0010002X;Collège Saint-Exupéry
2;0010005A;Collège Roger Poulnard
3;0010006B;Lycée polyvalent Saint-Exupéry
4;0010008D;Collège Saint-Exupéry
5;0010010F;Lycée polyvalent du Bugey
6;0010013J;Lycée Lalande
7;0010014K;Lycée Edgar Quinet
8;0010016M;Lycée polyvalent Joseph-Marie Carriat
9;0010017N;Section d'enseignement professionnel du Lycée polyvalent Carriat
10;0010018P;Collège du Revermont
11;0010021T;Lycée professionnel Marcelle Pardé
12;0010022U;Collège Henri Dunant
13;0010024W;Collège Georges Charpak
14;0010025X;Collège Paul Sixdenier
15;0010026Y;Collège Paul Claudel
16;0010032E;Lycée polyvalent Xavier Bichat
17;0010035H;Collège Louis Lumière
18;0010039M;Collège de l'Albarine
19;0010041P;Collège Vaugelas
20;0010042R;Collège Bel Air
21;0010046V;Collège du Renon
22;0010053C;Centre d'information et d'orientation d'Ambérieu-en-Bugey  - Antenne Belley
23;0010054D;Section d'enseignement général et professionnel adapté du Collège Vaugelas
24;0010056F;Centre d'information et d'orientation d'Oyonnax
25;0010059J;Lycée d'enseignement général, technologique et professionnel agricole de Cibeins
26;0010062M;Circonscription d'inspection du 1er degré de Bâgé
27;0010063N;Circonscription d'inspection du 1er degré de Belley
28;0010064P;Circonscription d'inspection du 1er degré d'Ambérieu en Bugey
29;0010066S;Collège Jean Moulin
30;0010067T;Circonscription d'inspection du 1er degré de Montrevel en Bresse
31;0010069V;Lycée Lamartine
32;0010070W;Lycée Saint-Pierre
33;0010072Y;Lycée polyvalent international site de Saint-Genis-Pouilly
34;0010075B;Lycée Saint-Joseph
35;0010076C;Collège Sainte-Marie
36;0010079F;Collège Saint-Joseph
37;0010080G;Collège Jeanne d'Arc
38;0010082J;Collège Saint-Pierre
39;0010083K;Collège Saint-Louis
40;0010084L;Collège Saint-Charles
41;0010086N;Collège Saint-Charles
42;0010088R;Collège Jeanne d'Arc
43;0010089S;Collège Saint-Pierre
44;0010092V;Collège Saint-Joseph
45;0010093W;Ecole primaire privée Sainte Marie
46;0010095Y;Collège Saint-Joseph
47;0010097A;Collège de la Sidoine
48;0010106K;Ecole élémentaire
49;0010107L;ECOLE LE PETIT PRINCE
50;0010108M;Ecole primaire
51;0010109N;Ecole primaire Jean Calas
52;0010110P;Ecole primaire Florian
53;0010112S;Ecole primaire
54;0010116W;Ecole primaire Prégnin
55;0010117X;Ecole primaire Les Genévriers
56;0010118Y;Ecole primaire
57;0010122C;Ecole primaire Yves de Tonnac
58;0010123D;Ecole primaire JEAN DE LA FONTAINE
59;0010130L;Ecole primaire Françoise Dolto
60;0010131M;Ecole primaire Les Chardons Bleus
61;0010134R;Ecole maternelle Centre
62;0010137U;Ecole primaire Clément Chazalet
63;0010138V;ECOLE ELEMENTAIRE PUBLIQUE
64;0010139W;ECOLE ELEMENTAIRE PUBLIQUE
65;0010141Y;Ecole primaire
66;0010142Z;Ecole maternelle
67;0010143A;Ecole primaire
68;0010144B;Ecole primaire
69;0010145C;Ecole élémentaire
70;0010146D;Ecole primaire
71;0010149G;ECOLE DES FONTAINES
72;0010153L;Ecole maternelle Les Tilleuls
73;0010154M;Ecole primaire
74;0010155N;Ecole primaire
75;0010157R;Ecole maternelle Sud
76;0010158S;Ecole primaire
77;0010159T;Ecole élémentaire Le Planet
78;0010160U;Ecole élémentaire Bernard Clavel
79;0010165Z;Ecole élémentaire
80;0010171F;Ecole primaire
81;0010172G;Ecole primaire
82;0010175K;Ecole primaire
