Code_departement,Total_Etablissements,Nb_Surchargés,Nb_Basiques,Nb_Standard,Nb_Inclusifs,Prop_Surchargés,Prop_Basiques,Moy_Eleves,Ratio_Eleves_Etab,Score_OverEquipped,Score_UnderEquipped
0,627,66,44,419,98,0.10526315789473684,0.07017543859649122,0.09873992018458035,0.09873992018458035,0.2646482551450642,0.9840510366826156
1,631,31,54,450,96,0.0491283676703645,0.08557844690966719,-0.40308339902755114,-0.40308339902755114,-0.12268384509151277,1.0190174326465926
2,428,8,28,328,64,0.018691588785046728,0.06542056074766354,-0.6933815534142321,-0.6933815534142321,-0.3426774333157416,0.9813084112149533
3,214,7,14,153,40,0.03271028037383177,0.06542056074766354,-0.5884574392564492,-0.5884574392564492,-0.2571283919074269,0.9439252336448598
4,174,8,12,126,28,0.04597701149425287,0.06896551724137931,-0.6037802624117867,-0.6037802624117867,-0.23899377082444018,0.9770114942528736
5,856,121,60,512,163,0.1413551401869159,0.07009345794392523,0.47954953060434263,0.47954953060434263,0.5455639525750295,0.9497663551401869
6,427,4,24,349,50,0.00936768149882904,0.05620608899297424,-0.6488583764334582,-0.6488583764334582,-0.3369209271234132,0.9953161592505855
7,277,11,28,176,62,0.039711191335740074,0.10108303249097472,-0.21741187955084498,-0.21741187955084498,-0.03974676936185645,0.9783393501805054
8,220,2,18,171,29,0.00909090909090909,0.08181818181818182,-0.7812479703790406,-0.7812479703790406,-0.41004067982598996,1.0318181818181817
9,320,24,28,217,51,0.075,0.0875,-0.272100328640552,-0.272100328640552,0.000854675010969197,1.015625
10,447,12,23,365,47,0.026845637583892617,0.05145413870246085,-0.5810373654738796,-0.5810373654738796,-0.26479054048209477,0.9977628635346756
11,411,2,34,312,63,0.004866180048661801,0.0827250608272506,-0.7920589060602747,-0.7920589060602747,-0.42441589523561873,1.0121654501216544
12,1723,212,167,1040,304,0.12304120719674985,0.09692396982008125,0.3971420952214417,0.3971420952214417,0.4637664104200999,1.0174114915844457
13,539,65,63,307,104,0.12059369202226346,0.11688311688311688,0.31706342038796453,0.31706342038796453,0.4149781586171126,1.0408163265306123
14,197,2,11,148,36,0.01015228426395939,0.05583756345177665,-0.8290901622752865,-0.8290901622752865,-0.4341414893491579,0.9289340101522843
15,397,11,25,293,68,0.027707808564231738,0.06297229219143577,-0.5190227804237109,-0.5190227804237109,-0.22907437834399363,0.9546599496221662
16,617,20,37,468,92,0.03241491085899514,0.059967585089141004,-0.4000906334794948,-0.4000906334794948,-0.15447034544275384,0.9708265802269044
