Code_Departement,Nb_Etablissements_Surcharges,Total_Eleves,Centre_Latitude,Centre_Longitude,Distance_Moyenne_km,Score_Besoin,Eleves_Moyen_Par_Etab,Nom_Departement
11,2,3,-0.143654,0.042855,0.09,937.111,1.7,Département 11
14,2,4,-0.046355,0.001486,0.27,621.122,2.1,Département 14
3,7,14,-0.152528,0.31859,1.0,200.437,2.0,Département 3
19,15,31,0.200079,0.244166,1.08,194.545,2.1,Département 19
5,121,262,-0.172991,0.445755,2.0,114.039,2.2,Hautes-Alpes
9,24,39,0.303179,0.153222,1.96,88.318,1.7,Département 9
15,11,22,0.029722,-0.229999,2.83,78.677,2.1,Département 15
12,212,426,-0.201442,0.271515,2.78,77.296,2.0,Aveyron
17,12,24,0.179992,-0.005263,2.96,73.268,2.0,Département 17
13,65,130,0.38864,-0.258663,3.45,62.694,2.0,Bouches-du-Rhône
16,20,36,0.071705,-0.324212,3.25,59.585,1.8,Département 16
2,8,18,0.097989,0.081217,4.4,57.03,2.3,Aisne
10,12,21,-0.22444,0.035474,3.41,56.393,1.8,Département 10
7,11,15,0.449025,0.222577,2.78,55.348,1.4,Département 7
18,7,14,-0.00753,-0.063428,4.59,48.311,2.0,Département 18
4,8,12,-0.081344,0.347326,3.75,45.699,1.6,Département 4
1,31,59,0.434458,0.093286,4.6,45.306,1.9,Ain
0,66,139,0.078668,0.288403,6.41,36.047,2.1,Département 0
6,4,3,-0.068683,0.207332,4.61,20.723,0.9,Alpes-Maritimes
8,2,0,-0.230465,-0.064767,4.49,6.557,0.3,Ardennes
 
