Nom_etablissement,Type_etablissement,Libelle_departement,latitude,longitude,Restauration,rest_priority_score
Collège Math Assistance Nation,Collège,Paris,48.84455135,2.39081875,0,0.6
Collège Bouéni-MTiti,Collège,Mayotte,-12.78530642,45.28003796,0,0.576648843
Collège Nelson Mandela de Doujani,Collège,Mayotte,-12.79312577,45.2110131,0,0.576648843
Ecole élémentaire de Pamandzi 1 Sandravangue,École,Mayotte,-12.7990666,45.27506738,0,0.576648843
Ecole élémentaire publique de Barakani 1A,École,Mayotte,-12.8394372,45.13085709,0,0.576648843
Collège de Tsimkoura,Collège,Mayotte,-12.93765633,45.14098106,0,0.576648843
Ecole élémentaire publique de Pamandzi 2 Sabili,École,Mayotte,-12.79812288,45.27646689,0,0.576648843
Ecole élémentaire publique de Pamandzi 3 Bahoni,École,Mayotte,-12.79923823,45.27953641,0,0.576648843
Ecole élémentaire publique de Pamandzi 4 Bandahari,École,Mayotte,-12.79692069,45.28112512,0,0.576648843
Ecole élémentaire publique de Ouangani 1,École,Mayotte,-12.85258074,45.14164494,0,0.576648843
Collège Ali Halidi de Chiconi,Collège,Mayotte,-12.83290726,45.12365923,0,0.576648843
Lycée polyvalent Gustave Eiffel de Kahani,Lycée,Mayotte,-12.82231001,45.13107309,0,0.576648843
Ecole maternelle publique de Ouangani,École,Mayotte,-12.84912499,45.13918877,0,0.576648843
Collège de Kawéni 1,Collège,Mayotte,-12.76991236,45.22372172,0,0.576648843
Lycée polyvalent de Kawéni,Lycée,Mayotte,-12.76961588,45.22035224,0,0.576648843
Collège des Ylangs Ylangs,Collège,Mayotte,-12.95323556,45.11009601,0,0.576648843
Collège de M'Tsangamouji,Collège,Mayotte,-12.75772024,45.07989359,0,0.576648843
Collège de Bandrelé,Collège,Mayotte,-12.9143626,45.19522926,0,0.576648843
Collège de Zena M'Dere,Collège,Mayotte,-12.79756415,45.28233104,0,0.576648843
Ecole élémentaire publique de Pamandzi 5,École,Mayotte,-12.7967757,45.28309769,0,0.576648843
Ecole élémentaire publique de Barakani 2,École,Mayotte,-12.84017725,45.13197534,0,0.576648843
Lycée agricole de Coconi,Lycée,Mayotte,-12.83957932,45.13416098,0,0.576648843
Collège Halidi-Selemani de M'Gombani,Collège,Mayotte,-12.78067998,45.23169994,0,0.576648843
Lycée professionnel de Dzoumogné,Lycée,Mayotte,-12.72257899,45.11784844,0,0.576648843
Ecole maternelle publique de Pamandzi 6,École,Mayotte,-12.7988821,45.27768214,0,0.576648843
Lycée polyvalent de Petite Terre,Lycée,Mayotte,-12.79784725,45.28645925,0,0.576648843
Ecole élémentaire publique de Ouangani 2,École,Mayotte,-12.85258074,45.14164494,0,0.576648843
